,id,age,flight_distance,inflight_wifi_service,departure/arrival_time_convenient,ease_of_online_booking,gate_location,food_and_drink,online_boarding,seat_comfort,inflight_entertainment,on_board_service,leg_room_service,baggage_handling,checkin_service,inflight_service,cleanliness,departure_delay_in_minutes,arrival_delay_in_minutes
id,1.0,0.020442787594565248,0.09502688504219994,-0.023242363202626824,-0.0020559435920733922,0.013247424881602974,-1.8786603292286617e-05,-0.00018340411484872764,0.05542811416882308,0.05235198101403318,0.0019443000843511536,0.05545398891893559,0.0439138997583345,0.07461765251786798,0.07915386209896454,0.078837696721717,0.02442470355897224,-0.017505528074913717,-0.03565678885683373
age,0.020442787594565248,1.0,0.09986293713070593,0.015778614556551614,0.03677972794021342,0.022293710481221297,-0.0007092363088111288,0.023283463998488647,0.20748456817385216,0.1592287930454762,0.07498964358145933,0.05674349173294691,0.03899217865102873,-0.0481918424044428,0.033182090091101075,-0.05177829317578917,0.05257450461720696,-0.009262637804201156,-0.011247758576540971
flight_distance,0.09502688504219994,0.09986293713070593,1.0,0.006554077590077578,-0.01890139319071524,0.0649590253028991,0.005377992733589713,0.05713624941356409,0.21508176831548056,0.1578248375028045,0.13051772277488635,0.1112237128697276,0.13454829087779985,0.06481004865788091,0.07363540009359443,0.05918223436939536,0.09565830122529424,0.001992109367111226,-0.0019345473636829657
inflight_wifi_service,-0.023242363202626824,0.015778614556551614,0.006554077590077578,1.0,0.3448458316016652,0.7148884632250716,0.3385472409896497,0.13210882835048232,0.4574220786131265,0.12137261426436383,0.20788661896460672,0.12002786142776825,0.16041378092593517,0.1205478507683944,0.04384664358898588,0.11029976499212431,0.13116335857771846,-0.01604588365036178,-0.01774941059090212
departure/arrival_time_convenient,-0.0020559435920733922,0.03677972794021342,-0.01890139319071524,0.3448458316016652,1.0,0.4376970242785779,0.44741085770345324,0.0010574051040621157,0.07217535978765756,0.008707035529831058,-0.008189337956959138,0.06704571002160048,0.01063389287071715,0.0706457669824083,0.0912168935871704,0.07216572175519759,0.010021234067373668,0.0006104919083702535,-0.0009420291905282102
ease_of_online_booking,0.013247424881602974,0.022293710481221297,0.0649590253028991,0.7148884632250716,0.4376970242785779,1.0,0.4601547250211993,0.030637922986867974,0.40494424304048887,0.028601890810596626,0.046669254872564556,0.03903947578376623,0.10934089174596358,0.039214632978127995,0.00883547715165175,0.03535591727368358,0.015149856123388684,-0.005330392038245787,-0.007033325368386743
gate_location,-1.8786603292286617e-05,-0.0007092363088111288,0.005377992733589713,0.3385472409896497,0.44741085770345324,0.4601547250211993,1.0,-0.002825135107595027,0.0025788808190774265,0.002492601514828236,0.0027510711225421486,-0.02910931320096,-0.005146217835082461,0.0010971411139547751,-0.03929389110419862,0.00033727313200000096,-0.006066147098520888,0.005943041123631868,0.005657951600723549
food_and_drink,-0.00018340411484872764,0.023283463998488647,0.05713624941356409,0.13210882835048232,0.0010574051040621157,0.030637922986867974,-0.002825135107595027,1.0,0.23352444354060284,0.5759933844941881,0.6233658752646627,0.05747606762856095,0.03321535743901229,0.03541322612598406,0.08510280853171592,0.0354240356777681,0.6580260316623919,-0.029350671262224536,-0.03171514718187532
online_boarding,0.05542811416882308,0.20748456817385216,0.21508176831548056,0.4574220786131265,0.07217535978765756,0.40494424304048887,0.0025788808190774265,0.23352444354060284,1.0,0.4191692471330359,0.28400817729069905,0.15427193803417616,0.12314916603762499,0.08356304595922848,0.20421455492882404,0.07397261598930474,0.3293314016167207,-0.01931870529873025,-0.022729577858091828
seat_comfort,0.05235198101403318,0.1592287930454762,0.1578248375028045,0.12137261426436383,0.008707035529831058,0.028601890810596626,0.002492601514828236,0.5759933844941881,0.4191692471330359,1.0,0.6119491362933103,0.13065410845015665,0.10424368767038796,0.0746165066024363,0.18983798231450538,0.06891216120196673,0.6796569730569623,-0.027711090333139066,-0.030520800533622213
inflight_entertainment,0.0019443000843511536,0.07498964358145933,0.13051772277488635,0.20788661896460672,-0.008189337956959138,0.046669254872564556,0.0027510711225421486,0.6233658752646627,0.28400817729069905,0.6119491362933103,1.0,0.41886254859081506,0.3005730896304398,0.3792909885225483,0.11966373672866655,0.40656096601362995,0.6924910666577933,-0.027166244413090356,-0.03023020185688019
on_board_service,0.05545398891893559,0.05674349173294691,0.1112237128697276,0.12002786142776825,0.06704571002160048,0.03903947578376623,-0.02910931320096,0.05747606762856095,0.15427193803417616,0.13065410845015665,0.41886254859081506,1.0,0.35787654447484946,0.5203997038858774,0.2446198238522511,0.5514596574638969,0.12220813369805256,-0.030471296440314516,-0.03478920019658738
leg_room_service,0.0439138997583345,0.03899217865102873,0.13454829087779985,0.16041378092593517,0.01063389287071715,0.10934089174596358,-0.005146217835082461,0.03321535743901229,0.12314916603762499,0.10424368767038796,0.3005730896304398,0.35787654447484946,1.0,0.3715992663363527,0.15271459896105583,0.36983330220737043,0.09677710838085063,0.014339097562281099,0.011345601741835548
baggage_handling,0.07461765251786798,-0.0481918424044428,0.06481004865788091,0.1205478507683944,0.0706457669824083,0.039214632978127995,0.0010971411139547751,0.03541322612598406,0.08356304595922848,0.0746165066024363,0.3792909885225483,0.5203997038858774,0.3715992663363527,1.0,0.23473221143112463,0.629492431026368,0.09710716825727983,-0.004424617781173969,-0.007935105222614352
checkin_service,0.07915386209896454,0.033182090091101075,0.07363540009359443,0.04384664358898588,0.0912168935871704,0.00883547715165175,-0.03929389110419862,0.08510280853171592,0.20421455492882404,0.18983798231450538,0.11966373672866655,0.2446198238522511,0.15271459896105583,0.23473221143112463,1.0,0.2377368632876338,0.1766114990059923,-0.018631664143226246,-0.021704646428629862
inflight_service,0.078837696721717,-0.05177829317578917,0.05918223436939536,0.11029976499212431,0.07216572175519759,0.03535591727368358,0.00033727313200000096,0.0354240356777681,0.07397261598930474,0.06891216120196673,0.40656096601362995,0.5514596574638969,0.36983330220737043,0.629492431026368,0.2377368632876338,1.0,0.09056466555318511,-0.05432927075144624,-0.05985272606682653
cleanliness,0.02442470355897224,0.05257450461720696,0.09565830122529424,0.13116335857771846,0.010021234067373668,0.015149856123388684,-0.006066147098520888,0.6580260316623919,0.3293314016167207,0.6796569730569623,0.6924910666577933,0.12220813369805256,0.09677710838085063,0.09710716825727983,0.1766114990059923,0.09056466555318511,1.0,-0.014552829854162034,-0.016545912488802553
departure_delay_in_minutes,-0.017505528074913717,-0.009262637804201156,0.001992109367111226,-0.01604588365036178,0.0006104919083702535,-0.005330392038245787,0.005943041123631868,-0.029350671262224536,-0.01931870529873025,-0.027711090333139066,-0.027166244413090356,-0.030471296440314516,0.014339097562281099,-0.004424617781173969,-0.018631664143226246,-0.05432927075144624,-0.014552829854162034,1.0,0.9652911835463369
arrival_delay_in_minutes,-0.03565678885683373,-0.011247758576540971,-0.0019345473636829657,-0.01774941059090212,-0.0009420291905282102,-0.007033325368386743,0.005657951600723549,-0.03171514718187532,-0.022729577858091828,-0.030520800533622213,-0.03023020185688019,-0.03478920019658738,0.011345601741835548,-0.007935105222614352,-0.021704646428629862,-0.05985272606682653,-0.016545912488802553,0.9652911835463369,1.0
